+------+----------+-----------------+---------+----------------+----+---------+---------+-------------+-------+----+------------+------------+-----------------+-----------------------------+----------+---------+---------------------------+
|dateID|date      |month_weekday_int|day_str  |week_weekday_int|week|month_int|month_str|month_firstOf|quarter|year|year_day_int|is_leap_year|date_str_abr     |date_str_full                |unix_ts   |isHoliday|holiday                    |
+------+----------+-----------------+---------+----------------+----+---------+---------+-------------+-------+----+------------+------------+-----------------+-----------------------------+----------+---------+---------------------------+
|1     |2021-01-01|1                |Friday   |6               |0   |1        |January  |2021-01-01   |1      |2021|1           |0           |Fri 1st Jan 2021 |Friday 1st January 2021      |1609484400|1        |New Year's Day             |
|2     |2021-01-02|2                |Saturday |7               |0   |1        |January  |2021-01-01   |1      |2021|2           |0           |Sat 2nd Jan 2021 |Saturday 2nd January 2021    |1609570800|0        |NULL                       |
|3     |2021-01-03|3                |Sunday   |1               |1   |1        |January  |2021-01-01   |1      |2021|3           |0           |Sun 3rd Jan 2021 |Sunday 3rd January 2021      |1609657200|0        |NULL                       |
|4     |2021-01-04|4                |Monday   |2               |1   |1        |January  |2021-01-01   |1      |2021|4           |0           |Mon 4th Jan 2021 |Monday 4th January 2021      |1609743600|0        |NULL                       |
|5     |2021-01-05|5                |Tuesday  |3               |1   |1        |January  |2021-01-01   |1      |2021|5           |0           |Tue 5th Jan 2021 |Tuesday 5th January 2021     |1609830000|0        |NULL                       |
|6     |2021-01-06|6                |Wednesday|4               |1   |1        |January  |2021-01-01   |1      |2021|6           |0           |Wed 6th Jan 2021 |Wednesday 6th January 2021   |1609916400|0        |NULL                       |
|7     |2021-01-07|7                |Thursday |5               |1   |1        |January  |2021-01-01   |1      |2021|7           |0           |Thu 7th Jan 2021 |Thursday 7th January 2021    |1610002800|0        |NULL                       |
|8     |2021-01-08|8                |Friday   |6               |1   |1        |January  |2021-01-01   |1      |2021|8           |0           |Fri 8th Jan 2021 |Friday 8th January 2021      |1610089200|0        |NULL                       |
|9     |2021-01-09|9                |Saturday |7               |1   |1        |January  |2021-01-01   |1      |2021|9           |0           |Sat 9th Jan 2021 |Saturday 9th January 2021    |1610175600|0        |NULL                       |
|10    |2021-01-10|10               |Sunday   |1               |2   |1        |January  |2021-01-01   |1      |2021|10          |0           |Sun 10th Jan 2021|Sunday 10th January 2021     |1610262000|0        |NULL                       |
|11    |2021-01-11|11               |Monday   |2               |2   |1        |January  |2021-01-01   |1      |2021|11          |0           |Mon 11th Jan 2021|Monday 11th January 2021     |1610348400|0        |NULL                       |
|12    |2021-01-12|12               |Tuesday  |3               |2   |1        |January  |2021-01-01   |1      |2021|12          |0           |Tue 12th Jan 2021|Tuesday 12th January 2021    |1610434800|0        |NULL                       |
|13    |2021-01-13|13               |Wednesday|4               |2   |1        |January  |2021-01-01   |1      |2021|13          |0           |Wed 13th Jan 2021|Wednesday 13th January 2021  |1610521200|0        |NULL                       |
|14    |2021-01-14|14               |Thursday |5               |2   |1        |January  |2021-01-01   |1      |2021|14          |0           |Thu 14th Jan 2021|Thursday 14th January 2021   |1610607600|0        |NULL                       |
|15    |2021-01-15|15               |Friday   |6               |2   |1        |January  |2021-01-01   |1      |2021|15          |0           |Fri 15th Jan 2021|Friday 15th January 2021     |1610694000|0        |NULL                       |
|16    |2021-01-16|16               |Saturday |7               |2   |1        |January  |2021-01-01   |1      |2021|16          |0           |Sat 16th Jan 2021|Saturday 16th January 2021   |1610780400|0        |NULL                       |
|17    |2021-01-17|17               |Sunday   |1               |3   |1        |January  |2021-01-01   |1      |2021|17          |0           |Sun 17th Jan 2021|Sunday 17th January 2021     |1610866800|0        |NULL                       |
|18    |2021-01-18|18               |Monday   |2               |3   |1        |January  |2021-01-01   |1      |2021|18          |0           |Mon 18th Jan 2021|Monday 18th January 2021     |1610953200|0        |NULL                       |
|19    |2021-01-19|19               |Tuesday  |3               |3   |1        |January  |2021-01-01   |1      |2021|19          |0           |Tue 19th Jan 2021|Tuesday 19th January 2021    |1611039600|0        |NULL                       |
|20    |2021-01-20|20               |Wednesday|4               |3   |1        |January  |2021-01-01   |1      |2021|20          |0           |Wed 20th Jan 2021|Wednesday 20th January 2021  |1611126000|0        |NULL                       |
|21    |2021-01-21|21               |Thursday |5               |3   |1        |January  |2021-01-01   |1      |2021|21          |0           |Thu 21st Jan 2021|Thursday 21st January 2021   |1611212400|0        |NULL                       |
